Angle1,x1,y1,Angle2,x2,y2,Angle3,x3,y3,,Angle_t
-3.17,54,-974,0.946427879,15,908,-5.12817905,-7,78,,3.403441582
-3.07,52,-970,0.823885015,13,904,-3.489316746,-5,82,,3.292139415
-2.83,48,-972,0.823885015,13,904,-6.41877172,-9,80,,3.039392462
-2.95,50,-970,0.948516743,15,906,-3.667779479,-5,78,,3.158807043
-3.07,52,-970,0.948516743,15,906,-3.489316746,-5,82,,3.284887931
-2.94,50,-974,1.204045366,19,904,-6.753558243,-9,76,,3.165781355
-2.96,50,-966,0.69407629,11,908,-0.734519317,-1,78,,3.151863362
-2.7,46,-974,1.077335376,17,904,-0.734519317,-1,78,,2.912973954
-3.19,54,-970,1.077335376,17,904,-6.581929264,-9,78,,3.418465424
-3.07,52,-968,1.070233724,17,910,-2.260496625,-3,76,,3.270480275
-3.19,54,-970,0.695608317,11,906,-5.12817905,-7,78,,3.410936979
-2.83,48,-972,1.070233724,17,910,-2.070025812,-3,83,,3.019389716
-3.39,58,-978,0.818453548,13,910,-0.698692749,-1,82,,3.646877462
-3.05,52,-976,1.070233724,17,910,-2.095247665,-3,82,,3.270480275
-2.83,48,-972,0.822066534,13,906,-2.147580406,-3,80,,3.032695524
-3.28,56,-976,0.948516743,15,906,-2.095247665,-3,82,,3.53695298
-2.48,42,-970,1.206714301,19,902,-10.23477883,-13,72,,2.665942604
-3.41,58,-974,0.441697768,7,908,-3.14495011,-5,91,,3.654888482
-3.18,54,-972,0.697147121,11,904,-3.764026063,-5,76,,3.418465424
-3.06,52,-974,0.823885015,13,904,-5.12817905,-7,78,,3.292139415
-3.17,54,-974,0.946427879,15,908,-3.667779479,-5,78,,3.403441582
-3.07,52,-970,1.201388209,19,906,-6.41877172,-9,80,,3.284887931
-3.29,56,-974,0.950614847,15,904,-5.12817905,-7,78,,3.544758166
-3.19,54,-968,0.695608317,11,906,-2.202593011,-3,78,,3.410936979
-3.06,52,-972,0.695608317,11,906,-3.44737879,-5,83,,3.284887931
-3.3,56,-970,0.944348195,15,910,-2.147580406,-3,80,,3.521445142
-3.09,52,-964,0.818453548,13,910,-6.263475968,-9,82,,3.270480275
-2.97,50,-964,0.695608317,11,906,-0.716158271,-1,80,,3.158807043
-3.42,58,-970,0.946427879,15,908,-4.707841235,-7,85,,3.654888482
-2.97,50,-964,0.950614847,15,904,-0.75384657,-1,76,,3.165781355
-2.97,50,-964,0.823885015,13,904,-2.147580406,-3,80,,3.165781355
-3.21,54,-964,1.204045366,19,904,-6.581929264,-9,78,,3.418465424
-3.07,52,-968,0.695608317,11,906,-3.576326012,-5,80,,3.284887931
-2.96,50,-966,0.948516743,15,906,-4.820754805,-7,83,,3.158807043
-3.2,54,-966,0.950614847,15,904,-2.070025812,-3,83,,3.418465424
-3.19,54,-970,0.823885015,13,904,-3.489316746,-5,82,,3.418465424
